expense_tags,big_category,count
annual,,2
igir,,2
weaviate,,2
flux,,2
"engineering,webservices",,2
hw,,2
"theleadthewayyouthsummit,accommodationandtravel",,2
"equipment,archive",,2
"theleadthewayyouthsummit,photographyandmedia",,2
hpx,,2
maintainers,,2
onlineevent,,2
hosting/cdn,,2
webxr-native,,2
open-contracting,,2
hospitality,,2
hetzner,,2
open-rmf,,2
chakrathon,,2
printmaterial,,2
workflow,,2
"externalcontributor,hardware",,2
communitysupport,,2
x-gc-sample-20250911,,2
opensource,,2
xrengine,,2
"fuel,transport",,2
"fuel,travel",,2
monthly,,2
"gas,tolls",,2
monthlymaintainer,,2
openmined,,2
"ugm,ugm_travel_meals",,2
afl++,,2
"x-gc-incomplete,x-gc-approved,x-gc-scheduled-20251022,x-gc-batched-20251023",,2
projectmanagment,,2
fees,,2
administrativo,,2
"infrastructure,collaboration,for-workshops,community",,2
projet:atlaspratique,,2
distribution,,2
promotionalmaterials,,2
sponsorship,,2
"virtual-event-platform,mauticon",,2
mutualaid,,2
"analytics,services",,2
spyderide,,2
"hardware,development",,2
"hardware,infra",,2
metanorma,,2
"webservices,2020",,2
"webservices,2021",,2
"webservices,2022",,2
"hardware,merch",,2
"webservices,communications",,2
nearnorth,,2
comida,,2
"webservices,engineering",,2
stickers,,2
"webservices,operationalcosts",,2
"hdinnovations,huntr",,2
devparty,,2
"approved,tepi",,2
"x-gc-scheduled-20250924,x-gc-batched-20250925",,2
pymc3,,2
"astrid,waitingforreply",,2
"hosting,tech",,2
developmenttime,,2
"hpx,gsod",,2
pytest,,2
"astrid,waitingforreply,approved",,2
pytorch-ignite,,2
"bonfire,membersshirt",,2
grants,,2
"ce-reimbursement,ce-sponsorship,githubcampusexpert",,2
"bugbounty,amazon",,2
meetings,,2
"infrastructure,cycle3",,2
"client,testing,ui",,2
"ce-reimbursement,ce-sponsorship",,2
"infrastructure,marketing",,2
"collaboration,infrastructure,for-workshops",,2
"conference,travel,registrationfee",,2
"consultants,development,mautic-5",,2
"ce-reimbursement,travel",,2
nimbleedge-envisedge,,2
budgiedevelopmentitem,,2
brl-cad,,2
"invoiceattached,emailhosting",,2
"engine,networking,server",,2
gpu,,2
mautic,,2
bounties,,2
mifos,,2
"client,engine",,2
"equipment,museum,library",,2
a11y,,2
"legal,ma-domiciliation.fr",,2
"client,server",,2
"esmarconf2022,resourceconstraintsbursary,itsupport",,2
"client,ui",,2
"fees,tabling,vending",,2
talawa,,2
targets,,2
redocly,,2
"luciano,waitingforreply",,2
c6,,1
"gsod,documentation",,1
"gsod,openms",,1
"hackatalk,serverfee",,1
"hackatalk,wehack",,1
"hardware,3d-print",,1
"hardware,legal",,1
"hardware,logistics",,1
"hardware,research-development",,1
"hardware,training",,1
"hardwaregrant,maintainer-grant",,1
c4,,1
"homebrew-hub,homebrew-hub-db",,1
"hosting,ci",,1
"xrengine,webxr-native,social,ui",,1
"youthcentre,lmcff,gcadminapproved,x-gc-scheduled-20250827",,1
"hosting,maven",,1
"hosting,services",,1
"houselessdistro,tents",,1
"engineering,communications,design,admin,projectmanagement",,1
"individual,personalbudget",,1
buttondown,,1
"infra,hardware",,1
"infra,railway",,1
bugbounty,,1
"infrastructure,collaboration",,1
"infrastructure,contabo",,1
"holidaygiftdrive,aor,aor-m,mmipfamily,m",,1
"infrastructure,externaldevelopercomissions",,1
"holidaygiftdrive,aor,mmipfamily,aor-m,m",,1
"infrastructure,mauticon",,1
"infrastructure,server",,1
bug-bounty,,1
"infrastructure,website",,1
#161,,1
"invoice,journalism",,1
branding,,1
"invoiceattached,supplies&materials",,1
"itsupport,digitalinfrastructure",,1
"leadership-development,fundraising",,1
"leadership-development,in-quickbooks",,1
"holidaygiftdrive,m,mmipfamily,aor-m,aor",,1
"leagle,collective",,1
"legal,starchildsystems",,1
"library,equipment",,1
"localtravel,meals",,1
"logistics,hardware",,1
board,,1
"lovisa,waitingforreply",,1
"m365,ended",,1
"m365,reimbursement",,1
"marcurious,svedberg",,1
"july,gcadminapproved,x-gc-approved,x-gc-scheduled-20250903,x-gc-batched-20250904",,1
bills,,1
"marketing,employment",,1
"marketing,mascot",,1
"marketing,travel",,1
beyondhub,,1
"meeting,celebration",,1
baytal-noor,,1
"library,equipment,scanner,laptop,museum",,1
"merch,workflow",,1
"mikrotik,netmetal",,1
"modding-event,modtoberfest",,1
"mutualaid,communitysupport",,1
"nbw,domains",,1
bankfees,,1
"nbw,services",,1
"netcup,monthly",,1
"networking,testing",,1
"networking,vr",,1
"newequiptment,3dprinter",,1
"officeitems,reimbursement",,1
"openai,ai",,1
"maintain,improve,expense,public-apis,matheusfelipeog",,1
"organisingteamhonorarium,esmarconf2022",,1
"ostzonensuppenwﾃｼrfelmachenkrebs,nonoyesno",,1
"outreach,smm",,1
azurehosting,,1
"pampertemple(houseofglﾃｸd),astrid",,1
"plenum,raummiete",,1
"opotikihorizonspress,events,x-gc-approved,x-gc-scheduled-20251029,x-gc-batched-20251029",,1
awards,,1
"potentialenergy,teamtravel",,1
"power,doet",,1
"power,intrastucture",,1
"qwack,what",,1
"organizer,housing,tenantsmeeting,calls,outreach",,1
"rangatahi,opotikihorizonspress",,1
"raspberry-pi,jenkins",,1
"recurring,stipend",,1
"reeree,waitingforreply",,1
"reimbursement,onetime",,1
"reimbursement,travel",,1
"reinbursement,notion",,1
"reinbursement,officeitems",,1
"reinbursement,reoccuring",,1
"renew,vps",,1
"reoccuring,cloudflare",,1
"reoccuring,fun",,1
artbysoliyah,,1
argos-ci,,1
"reoccuring,twitter",,1
apps,,1
"samu,waitingforreply",,1
approval,,1
"sec,infra",,1
"sendgrid,email",,1
"venue,food,housing,childcare,transport",,1
"server,ui",,1
"services,display",,1
"services,docker",,1
"services,meetup",,1
"socialmedia,hourly",,1
apparel,,1
"software&subscriptions,domainregistration",,1
"spiritual,scholarship",,1
"sponsoring,community",,1
"ssdnodes,server",,1
"supplies&materials,communications",,1
"supplies&materials,invoiceattached",,1
"svedberg,waitingforreply",,1
"team,communications",,1
apptesting,,1
"teamtravel,potentialenergy",,1
"tech,domainregistration",,1
"tech,hosting",,1
